ts,USD,EUR,GBP,JPY,CHF,CAD,AUD,NZD
2026.07.07 12:00,-0.09905017,-0.05026389,0.25452555,0.38171822,-0.33848415,-0.04355711,-0.06960051,-0.03528795
2026.07.07 13:00,-0.04963060,0.00888739,0.21258220,0.38052194,-0.29210448,-0.02109111,-0.09381078,-0.14535457
2026.07.07 14:00,0.00963399,-0.03919638,0.17987174,0.41080662,-0.25874926,-0.02556569,-0.09918834,-0.17761269
2026.07.07 15:00,0.04908246,-0.02725596,0.08813464,0.43181257,-0.21225741,-0.06258788,-0.08218547,-0.18474295
2026.07.07 16:00,0.11221153,0.02826434,-0.04435090,0.43818419,-0.19738978,0.13817331,-0.17767126,-0.29742143
2026.07.07 17:00,0.12071926,-0.02321326,-0.02981806,0.38424771,-0.20210082,0.24864587,-0.21425801,-0.28422269
2026.07.07 18:00,0.18052832,-0.06792624,-0.06920896,0.40733742,-0.24841353,0.35923492,-0.25621341,-0.30533851
2026.07.07 19:00,0.16939067,-0.08498246,-0.09358149,0.37322446,-0.27543746,0.42491779,-0.23152781,-0.28200370
2026.07.07 20:00,0.12152330,-0.09810059,-0.14198992,0.32742768,-0.27906406,0.48187177,-0.18637675,-0.22529144
2026.07.07 21:00,0.18385343,-0.11743993,-0.16823431,0.35122018,-0.30072997,0.55957121,-0.23650395,-0.27173666
2026.07.07 22:00,0.20757438,-0.10228759,-0.18871186,0.26285846,-0.30775230,0.63494483,-0.21474315,-0.29188278
2026.07.07 23:00,0.23156079,-0.13114632,-0.18101242,0.23418916,-0.24316590,0.66763156,-0.24057634,-0.33748053
2026.07.08 00:00,0.27343267,-0.16943070,-0.18721904,0.17913272,-0.21384338,0.73289279,-0.28711972,-0.32784535
2026.07.08 01:00,0.29019278,-0.14508098,-0.20348794,0.08038510,-0.26974293,0.75481483,-0.22838758,-0.27869327
2026.07.08 02:00,0.33254428,-0.14508960,-0.20535054,-0.01462790,-0.28089986,0.75816452,-0.22003689,-0.22470401
2026.07.08 03:00,0.28942743,-0.15254344,-0.21837212,-0.11562051,-0.34315939,0.68591609,-0.06371589,-0.08193216
2026.07.08 04:00,0.29871019,-0.17549452,-0.24824621,-0.15996214,-0.37077376,0.66238642,-0.01426230,0.00764233
2026.07.08 05:00,0.24607390,-0.17707607,-0.28632660,-0.22666121,-0.39678792,0.61121874,-0.03338152,0.26294068
2026.07.08 06:00,0.21698939,-0.17453143,-0.31016719,-0.28320207,-0.39433307,0.54933081,-0.02998816,0.42590172
2026.07.08 07:00,0.19227869,-0.20617423,-0.36683951,-0.38887502,-0.40069580,0.53427922,-0.03973483,0.67576146
2026.07.08 08:00,0.14473157,-0.19886351,-0.37975491,-0.42038582,-0.39547456,0.50523559,-0.03239936,0.77691100
2026.07.08 09:00,0.07463131,-0.23166603,-0.31581263,-0.42445058,-0.27556450,0.48844354,-0.11912676,0.80354564
2026.07.08 10:00,0.00357524,-0.23224217,-0.32705923,-0.47350672,-0.24178957,0.54943193,-0.11636913,0.83795966
2026.07.08 11:00,0.10811123,-0.18733322,-0.36234381,-0.51457773,-0.19101062,0.70131800,-0.29877466,0.74461082
2026.07.08 12:00,0.09212056,-0.23804313,-0.32747107,-0.51872278,-0.16185564,0.71090271,-0.29635790,0.73942725
2026.07.08 13:00,0.04849948,-0.22019257,-0.30890398,-0.55332150,-0.10388096,0.59939296,-0.24494950,0.78335608
2026.07.08 14:00,0.12807994,-0.16688400,-0.31484479,-0.49841466,-0.11145997,0.51098505,-0.26202855,0.71456699
